Month,Year,Cluster,Avg_Produce,,,,,,,,Cluster 1,Cluster 2,Cluster 3,,Month,New Stores,Existing Stores
3,2012,3,9716.745661,,,,,,,,222751.6018,267834.6391,252865.7073,,January,2528128.347,21829060.03
4,2012,3,9532.712086,-184.0335747,,,,,,,217045.5796,256545.7252,247415.7479,,February,2437826.838,21146329.63
5,2012,3,10693.89643,1161.184347,,,,,,,255988.6744,298128.7504,291435.2826,,March,2848173.808,23735686.94
6,2012,3,11159.95068,466.0542441,,,,,,,239025.4101,289640.9679,273469.6219,,April,2728391.659,22409515.28
7,2012,3,10559.35623,-600.5944472,,,,,,,276795.3406,325652.2621,311018.6486,,May,3095318.243,25621828.73
8,2012,3,9382.06381,-1177.292419,,,,,,,279534.7125,331305.9292,311814.3337,,June,3138254.046,26307858.04
9,2012,3,8152.660042,-1229.403769,,,,,,,284417.9819,333916.2445,313432.2644,,July,3170183.677,26705092.56
10,2012,3,7668.484113,-484.1759288,,,,,,,248186.005,299443.4733,274689.3224,,August,2815908.177,23440761.33
11,2012,3,8232.016125,563.5320121,,,,,,,217468.8625,264922.0223,243790.4233,,September,2485729.145,20640047.32
12,2012,3,8454.24301,222.2268854,,,,,,,212813.9016,259769.078,238101.3051,,October,2435157.478,20086270.46
1,2013,3,7196.581885,-1257.661125,,,,,,,222889.745,267953.6027,250945.4107,,November,2527336.262,20858119.96
2,2013,3,7894.555614,697.9737288,,,,,,,227337.0577,261570.3732,255140.801,,December,2506574.213,21255190.24
3,2013,3,8284.830373,390.2747591,,,,,,,,,,,,,
4,2013,3,8001.612385,-283.2179876,,,,,,,,,,,,,
5,2013,3,8325.061397,323.449012,,,,,,,,,,,,,
6,2013,3,9183.996,858.9346026,,,,,,,,,,,,,
7,2013,3,9635.176833,451.1808328,,,,,,,,,,,,,
8,2013,3,8015.687752,-1619.489081,,,,,,,,,,,,,
9,2013,3,7783.578384,-232.1093679,,,,,,,,,,,,,
10,2013,3,6737.259198,-1046.319185,,,,,,,,,,,,,
11,2013,3,7469.795141,732.535943,,,,,,,,,,,,,
12,2013,3,7979.007768,509.2126263,,,,,,,,,,,,,
1,2014,3,7854.989834,-124.0179339,,,,,,,,,,,,,
2,2014,3,7919.262069,64.27223514,,,,,,,,,,,,,
3,2014,3,8174.453402,255.1913328,,,,,,,,,,,,,
4,2014,3,8052.640727,-121.8126745,,,,,,,,,,,,,
5,2014,3,9120.372845,1067.732117,,,,,,,,,,,,,
6,2014,3,8909.407525,-210.9653193,,,,,,,,,,,,,
7,2014,3,8498.344795,-411.0627307,,,,,,,,,,,,,
8,2014,3,7536.94523,-961.3995644,,,,,,,,,,,,,
9,2014,3,6478.888182,-1058.057048,,,,,,,,,,,,,
10,2014,3,6651.30956,172.4213783,,,,,,,,,,,,,
11,2014,3,6863.278848,211.9692884,,,,,,,,,,,,,
12,2014,3,6930.196909,66.91806061,,,,,,,,,,,,,
1,2015,3,7004.436471,74.23956207,,,,,,,,,,,,,
2,2015,3,7648.63737,644.200899,,,,,,,,,,,,,
3,2015,3,8630.506843,981.8694725,,,,,,,,,,,,,
4,2015,3,7509.937778,-1120.569065,,,,,,,,,,,,,
5,2015,3,8889.517419,1379.579642,,,,,,,,,,,,,
6,2015,3,9628.386253,738.8688332,,,,,,,,,,,,,
