Period,Sub_Period,ETS_MNM_Forecast,ETS_MNM_Forecast_high_95,ETS_MNM_Forecast_high_80,ETS_MNM_Forecast_low_80,ETS_MNM_Forecast_low_95
4,11,222751.601844472,250392.276588024,240824.867613496,204678.336075447,195110.92710092
4,12,217045.579573784,244744.825722159,235157.1431259,198934.016021668,189346.333425409
5,1,255988.674425679,289537.825834506,277925.285429664,234052.063421694,222439.523016852
5,2,239025.410113135,271152.270138044,260032.034768341,218018.78545793,206898.550088227
5,3,276795.340558369,314903.829630424,301713.142220062,251877.538896675,238686.851486313
5,4,279534.712546712,318913.361381284,305283.027036695,253786.39805673,240156.063712141
5,5,284417.981867267,325373.206862086,311197.164098852,257638.799635681,243462.756872447
5,6,248186.005012627,284683.102296724,272050.174217371,224321.835807884,211688.907728531
5,7,217468.862452723,250100.625079726,238805.625174375,196132.09973107,184837.09982572
5,8,212813.901552746,245372.661035583,234102.930084162,191524.873021331,180255.142069909
5,9,222889.745043637,257632.921439377,245607.087021939,200172.403065334,188146.568647896
5,10,227337.057721574,263417.419825391,250928.738438306,203745.377004842,191256.695617758
